booking_id,amount
B1002,8593.08
B1004,12222.48
B1005,13378.9
B1006,14980.37
B1010,
B1011,2115.18
B1012,23702.39
B1013,1176.33
B1015,19609.66
B1016,23800.77
B1018,2588.63
B1019,18621.0
B1020,8150.35
B1021,6949.93
B1023,13057.27
B1024,4857.79
B1025,36122.96
B1026,13204.36
B1027,7503.17
B1031,7056.42
B1033,17076.39
B1036,5144.89
B1039,24656.690000000002
B1041,23580.18
B1042,14402.39
B1043,8291.6
B1044,1199.88
B1045,6732.210000000001
B1046,26282.309999999998
B1050,13350.33
B1051,10875.08
B1052,9827.3
B1053,7702.52
B1056,3173.87
B1057,12211.199999999999
B1059,10839.07
B1060,11681.98
B1061,31579.800000000003
B1064,14413.72
B1067,17433.34
B1068,5274.94
B1069,14992.95
B1070,5631.13
B1076,8247.5
B1077,11261.699999999999
B1080,21169.42
B1083,6777.38
B1085,11410.8
B1086,4873.96
B1087,3191.92
B1088,7375.1
B1092,15898.93
B1094,17560.29
B1096,18163.89
B1098,10455.66
B1101,2214.47
B1102,24626.690000000002
B1103,14062.55
B1105,14294.21
B1106,
B1109,13080.08
B1111,
B1112,20662.78
B1113,9457.62
B1114,8187.33
B1115,8185.02
B1116,9883.49
B1117,24642.71
B1118,
B1119,22268.71
B1120,2571.48
B1123,14525.48
B1124,15753.68
B1129,12008.51
B1131,3592.91
B1132,4677.7
B1133,14200.43
B1135,10501.09
B1136,2857.01
B1137,10092.76
B1139,6016.05
B1140,8447.38
B1142,4506.21
B1143,6360.73
B1144,
B1146,
B1149,12393.75
B1150,12535.73
B1151,
B1153,5774.24
B1154,9979.51
B1156,3413.47
B1157,7902.25
B1158,14265.47
B1159,16962.75
B1160,5267.38
B1161,24640.24
B1164,2684.77
B1165,43097.990000000005
B1166,5530.81
B1167,27299.79
B1168,5435.83
B1169,3795.6
B1171,23311.04
B1172,25477.4
B1173,
B1174,
B1175,10654.9
B1177,12412.89
B1178,
B1179,10619.52
B1182,9005.88
B1185,13080.31
B1187,6625.76
B1192,
B1195,19224.28
B1197,8876.86
B1198,1830.32
B1199,13499.52
B1200,30813.57
B1201,7338.75
B1202,1973.12
B1203,12774.63
B1204,14106.07
B1205,10452.65
B1207,10823.99
B1208,22071.57
B1209,10307.2
B1212,8421.62
B1215,11951.15
B1216,19165.81
B1220,11075.72
B1221,18797.11
B1223,1794.08
B1225,3894.65
B1226,8968.11
B1227,
B1228,11716.58
B1230,4531.77
B1231,11556.42
B1233,1617.29
B1234,7984.22
B1235,1236.74
B1238,3231.46
B1239,8821.9
B1240,12241.53
B1241,
B1244,4953.56
B1245,3162.91
B1246,11516.06
B1247,7658.69
B1249,5024.44
B1250,6497.92
B1251,6952.65
B1252,1480.08
B1253,16182.17
B1254,
B1255,1412.67
B1256,2040.64
B1257,13028.65
B1259,12805.67
B1260,16293.859999999999
B1262,10619.2
B1263,12480.9
B1264,8599.61
B1266,14431.32
B1267,16308.98
B1268,13289.27
B1269,21299.7
B1271,12211.33
B1272,30432.86
B1273,9142.12
B1274,8582.34
B1276,9396.07
B1279,5467.05
B1281,4413.8
B1283,8606.06
B1284,12706.73
B1285,1207.32
B1287,22303.69
B1288,9254.89
B1289,12016.99
B1290,13471.57
B1291,4129.39
B1292,22109.52
B1293,6227.3
B1299,8842.93
B1301,14671.03
B1302,24221.91
B1303,19672.949999999997
B1305,13844.39
B1306,9753.04
B1307,26271.33
B1308,21710.67
B1310,7370.22
B1314,7529.51
B1316,11302.63
B1317,33282.71
B1318,4594.77
B1319,5359.26
B1320,22159.09
B1324,7543.0
B1325,4503.45
B1327,13822.99
B1329,6401.38
B1331,7131.5
B1332,4183.32
B1333,4610.9
B1341,9263.24
B1342,19003.28
B1347,12000.54
B1349,11101.75
B1350,30051.37
B1351,14687.44
B1352,12219.85
B1354,10023.88
B1355,14298.510000000002
B1357,6983.72
B1359,21566.809999999998
B1361,5339.72
B1363,8554.62
B1364,14123.66
B1367,2379.52
B1368,21921.94
B1369,18103.68
B1370,16512.64
B1372,10597.220000000001
B1373,6540.32
B1375,19214.79
B1376,19918.21
B1378,14416.01
B1380,14705.02
B1381,7452.89
B1382,14862.46
B1384,5107.55
B1388,22550.010000000002
B1389,
B1391,35468.95
B1393,5252.26
B1395,10317.13
B1396,16199.130000000001
