booking_id,passenger_id,flight_id,booking_date,status,booking_group,route,airline,duration_minutes,duration_category,departure_period,days_before_flight,booking_lead_category,amount,payment_missing
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,Cancelled,MAA - BOM,Air India,299.0,Long,Evening,310.0,Long Term,,True
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,Cancelled,BOM - CCU,IndiGo,267.0,Long,Evening,169.0,Long Term,,True
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,Cancelled,CCU - MAA,SpiceJet,174.0,Medium,Evening,238.0,Long Term,8593.08,False
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,Active,DEL - BOM,Air India,226.0,Medium,Evening,111.0,Long Term,,True
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,Active,HYD - DEL,Vistara,278.0,Long,Evening,200.0,Long Term,12222.48,False
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,Active,CCU - DEL,Air India,232.0,Medium,Evening,232.0,Long Term,13378.9,False
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,Cancelled,BOM - DEL,Air India,223.0,Medium,Evening,295.0,Long Term,14980.37,False
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,Active,DEL - MAA,Vistara,181.0,Medium,Evening,39.0,Medium Term,,True
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,Active,BOM - CCU,Air India,156.0,Medium,Evening,225.0,Long Term,,True
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,Cancelled,DEL - HYD,SpiceJet,139.0,Medium,Evening,357.0,Long Term,,True
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,Active,BOM - CCU,Air India,108.0,Short,Evening,147.0,Long Term,,True
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,Active,HYD - BOM,Air India,278.0,Long,Evening,177.0,Long Term,2115.18,False
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,Active,BOM - DEL,Air India,148.0,Medium,Evening,248.0,Long Term,23702.39,False
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,Active,BOM - MAA,SpiceJet,287.0,Long,Evening,274.0,Long Term,1176.33,False
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,Active,CCU - DEL,SpiceJet,196.0,Medium,Evening,217.0,Long Term,,True
B1015,P1431,UK094,2025-10-21 11:37:36.951,,,BOM - CCU,Vistara,105.0,Short,Evening,181.0,Long Term,19609.66,False
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,Cancelled,BOM - CCU,Vistara,141.0,Medium,Evening,97.0,Long Term,23800.77,False
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,Active,BOM - CCU,Vistara,206.0,Medium,Evening,16.0,Short Term,,True
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,Cancelled,CCU - MAA,IndiGo,103.0,Short,Evening,26.0,Short Term,2588.63,False
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,Cancelled,BLR - BOM,IndiGo,147.0,Medium,Evening,263.0,Long Term,18621.0,False
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,Active,HYD - DEL,SpiceJet,140.0,Medium,Evening,135.0,Long Term,8150.35,False
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,Cancelled,DEL - MAA,IndiGo,274.0,Long,Evening,134.0,Long Term,6949.93,False
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,Active,BOM - HYD,Air India,92.0,Short,Evening,26.0,Short Term,,True
